timestamp,eye_rub_first_hand_report,eye_rub_first_hand_count,eye_rub_first_hand_durations,|,eye_rub_second_hand_report,eye_rub_second_hand_count,eye_rub_second_hand_durations,|,flicker_report,flicker_count,|,micro_sleep_report,micro_sleep_count,micro_sleep_durations,|,pitch_report,pitch_count,pitch_durations,|,yawn_report,yawn_count,yawn_durations
2024-11-21 10:37:41,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:37:42,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:37:44,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:37:45,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:37:47,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:37:48,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:37:50,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:37:51,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 12.0 seconds']
2024-11-21 10:37:53,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 12.0 seconds']
2024-11-21 10:37:54,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 12.0 seconds']
2024-11-21 10:37:56,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 12.0 seconds']
2024-11-21 10:37:57,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 12.0 seconds']
2024-11-21 10:37:59,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 12.0 seconds']
2024-11-21 10:38:01,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 12.0 seconds']
2024-11-21 10:38:02,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 12.0 seconds']
2024-11-21 10:38:04,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 12.0 seconds']
2024-11-21 10:38:05,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 12.0 seconds']
2024-11-21 10:38:07,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 12.0 seconds']
2024-11-21 10:38:08,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 12.0 seconds']
2024-11-21 10:38:10,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 12.0 seconds']
2024-11-21 10:38:11,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 12.0 seconds']
2024-11-21 10:38:12,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 18.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 1.0 seconds remaining.,[]
2024-11-21 10:38:13,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 12.0 seconds']
2024-11-21 10:49:16,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:49:18,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:49:20,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:49:22,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:49:23,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:49:25,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:49:26,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:49:28,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:49:29,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:49:31,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2024-11-21 10:49:32,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,1,['1 yawn: 13.0 seconds']
2024-11-21 10:49:34,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 13.0 seconds']
2024-11-21 10:49:35,True,0,[],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,['1 yawn: 13.0 seconds']
2024-11-21 10:56:08,True,0,[],|,True,0,[],|,True,0,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
